category,check_name,old_copy_fail,new_copy_pass,new_copy_fail,notes
earnings,NJ TDI has_met_nj_earnings,The employee has met NJ TDI earnings requirements for the base period. = False,The employee has met NJ TDI earnings requirements for the base period.,The employee has not met NJ TDI earnings requirements for the base period.,
earnings,RI TDI meets_earnings_requirement,Employee does not meet the RI TDI earnings requirement for the base period. = False,Employee meets the RI TDI earnings requirement for the base period.,Employee does not meet the RI TDI earnings requirement for the base period.,Failure-oriented legacy desc inverted for pass
earnings,RI TCI meets_earnings_requirement,Employee does not meet the RI TCI earnings requirement for the base period. = False,Employee meets the RI TCI earnings requirement for the base period.,Employee does not meet the RI TCI earnings requirement for the base period.,Failure-oriented legacy desc inverted for pass
employer_threshold,company.us_size (50 employees),The company has at least 50 employees in the US = False,The company has at least 50 employees in the U.S.,The company does not have 50 employees in the U.S.,
employer_threshold,NJ FLA employer_meets_nj_fla_threshold,Employer has at least 15 US employees for NJ FLA = False,Employer has at least 15 US employees for NJ FLA.,Employer has fewer than 15 US employees for NJ FLA.,
employer_threshold,company.has_met_fmla_employer_threshold,Company policy indicates they have met the FMLA employer threshold = False,The company meets the FMLA employer size threshold.,The company does not meet the FMLA employer size threshold.,
employer_type,RI TDI is_not_ri_municipality,RI TDI applies to private employers only. = False,RI TDI applies to private employers only.,The employer is a Rhode Island municipality.,
employer_type,RI TCI is_not_ri_state_agency,RI TCI applies to private employers only. = False,RI TCI applies to private employers only.,The employer is a Rhode Island state agency.,
fmla_worksite,FMLA is_worksite_fmla_eligible,Employee worksite is FMLA eligible (50/75 rule) = False,The employee's worksite meets the FMLA 50-employee/75-mile requirement.,The employee's worksite does not meet the FMLA 50-employee/75-mile requirement.,
caregiver_relationship,FMLA caregiver_relationship_valid,Caregiver relationship is FMLA-eligible = False,Caregiver relationship is FMLA-eligible,The caregiver relationship is not FMLA-eligible.,
caregiver_relationship,CA PFL caregiver_relationship,Caring for covered family member = False,Caring for covered family member,The caregiver relationship is not covered for this leave.,
military_leave,FMLA military caregiver qualifies,Employee is caring for a covered military service member with a serious injury or illness = False,The employee is caring for a covered military service member with a serious injury or illness.,The employee is not caring for a covered military service member with a serious injury or illness.,
military_leave,CFRA leave.is_covered_military_reason,The military leave reason is: Loved One Deployed = False,The military leave reason is: Loved One Deployed,The military leave reason is not: Loved One Deployed,
schedule,schedule.has_only_one_chunk_of_leave,The leave is continuous (has only 1 chunk of time off) = False,The leave is continuous (has only 1 chunk of time off).,The leave is not continuous (has more than 1 chunk of time off).,
schedule,RI PFMLA is_contiguous_ripfmla_leave,RIPFMLA leave must be taken as one continuous block (single time-off chunk not intermittent or reduced schedule). = False,RIPFMLA leave must be taken as one continuous block (single time-off chunk not intermittent or reduced schedule).,RIPFMLA leave is not taken as one continuous block (single time-off chunk; intermittent or reduced schedule is not allowed).,
schedule,RI PFMLA no_prior_ripfmla_separate_block,No prior RIPFMLA leave block has been used in this two-year period. = False,No prior RIPFMLA leave block has been used in this two-year period.,A prior RIPFMLA leave block has been used in this two-year period.,
hours_requirement,RI PFMLA has_met_ri_hours,EE has met RI average hours requirement = False,The employee has met Rhode Island's average hours requirement.,The employee has not met Rhode Island's average hours requirement.,
withholding,CA SDI sdi_withheld,Sufficient CA SDI withheld = False,Sufficient CA SDI withheld,CA SDI withholding is not sufficient.,
ineligibility_api,results.get_reasons_ineligible (structured),New child bonding = False,(passed checks omitted),This leave is not for new child bonding.,API uses structured passed:false metadata
