Category,Message topic,Before (hard to understand),After (clear message),Where users see it,Who benefits,Why this is better
Schedule,Missing schedule day,"Missing schedule time including 2024-03-15","No scheduled leave time includes March 15, 2024.","Intermittent leave span reasoning","HR admins; leave coordinators","States the missing day in calendar language."
Denials,Removing denied time,"Removing denial spans from leave schedule. Spans: [...]","Denied leave periods have been removed from the schedule.","Admin PDP when benefit denials trim spans","HR admins; leave coordinators","No raw span dump in user copy."
Denials,All time denied,"All benefit time is denied. No leave schedule.","All benefit time has been denied. No leave periods are available.","Admin PDP when entire benefit is denied","HR admins; leave coordinators","Consistent leave-period terminology."
Denials,Document conflict,"(conflict message with raw span references)","There is a conflict between denied periods and documented leave periods. Leave periods cannot be calculated.","Admin PDP when denials and med-cert spans conflict","HR admins; leave coordinators","Explains why spans could not be produced."
Dependencies,Found sibling result,"Found result for DelawarePFMLPaidMedical","Found a result for Delaware PFML: Paid Benefit (Medical).","Job protection / nested benefit reasoning","HR admins; benefits specialists","Uses paycalc template title instead of Python class name."
Dependencies,Missing sibling result,"Missing result for ColoradoFCA","No result was found for Colorado Family Care Act (FCA).","Dependent benefit evaluation","HR admins; benefits specialists","Plain language with expanded program name."
Dependencies,Too many results,"Found too many results for OregonPLOPaid","Too many results were found for Oregon Paid Leave.","Rules that expect exactly one sibling result","HR admins; benefits specialists","Readable benefit name instead of class name."
Dependencies,Dependent start date,"The benefit start date (2023-01-04) begins the day after the last covered period from CaliforniaSDI.","The benefit start date (January 4, 2023) begins the day after the last covered period from California State Disability Insurance.","California dependent start-date reasoning","HR admins; benefits specialists","Readable dates and full program names."
Entitlement,Prior usage exhausted,"CO FCA benefit exhausted by prior usage.","CO FCA benefit has been exhausted by prior usage.","Colorado FCA / shared bank reasoning","HR admins; benefits specialists","Minor grammar fix; clearer passive voice."
Entitlement,Prior usage exhausted,"NJ FLA benefit exhausted by prior usage.","NJ FLA benefit has been exhausted by prior usage.","New Jersey FLA span reasoning","HR admins; benefits specialists","Same pattern across state job-protection banks."
Entitlement,Remaining bank,"14 days remaining (28 days used from prior leave)","14 days remaining (28 days used from prior leave).","Tracked benefit bank reasoning","HR admins; benefits specialists","Already readable; kept consistent punctuation."
Parental,Due date start,"Leave is Parental, so leave cannot start before due date.","Parental leave cannot begin before the expected due date.","Parental span start rules","HR admins; leave coordinators","Removes internal leave-type enum wording."
Parental,One-year end limit,"End date must be within 1 year of expected due date","Leave must end by [date], within one year of the due date.","Parental bonding end-date rules","HR admins; leave coordinators","Complete sentence with readable end date."
Parental,Birth/placement start,"Start date must be on or after birth or placement date","The start date must be on or after the birth or placement date.","Bonding leave start rules","HR admins; leave coordinators","Plain scheduling requirement."
Parental,Post-birth recovery,"Vaginal birth gets up to 42 days after.","For a vaginal delivery: up to 6 weeks of post-birth recovery leave.","Parental recovery duration reasoning","HR admins; leave coordinators","Weeks phrasing instead of raw day counts."
Parental,Per-child allowance,"6 weeks per expected child","6 weeks are provided per expected child.","Multi-child parental benefits","HR admins; leave coordinators","Complete sentence about allowance."
Job protection,Generating JP spans,"Generating job protection spans from the JP bank","Generating job-protection leave periods from the available bank, bounded by [paid benefit] coverage.","Delaware PFML job protection reasoning","HR admins; benefits specialists","Explains JP source and paid-benefit boundary."
Job protection,Paid coverage limit,"(various terse JP boundary notes)","Job protection is limited to the paid-benefit coverage period and ends no later than the last covered day of the paid benefit.","Delaware / state JP rules","HR admins; benefits specialists","Single clear statement of JP vs paid relationship."
Med cert,No duration effect,"Med cert does not affect span duration","The medical certification does not change the leave duration.","Span calculation when med cert present but inactive","HR admins; leave coordinators","User-facing med-cert language."
Med cert,Schedule adjustment,"Leave type is PARENTAL and accepted documents adjust schedule...","Parental leave schedule has been adjusted based on accepted documentation dates.","Document-driven schedule adjustment","HR admins; leave coordinators","Title-case leave type; no enum leakage."
Med cert,Pre-birth allowed,"Med cert allows for pre-birth time","An accepted medical certification allows pre-birth leave time.","FMLA / state nesting rules","HR admins; benefits specialists","Plain explanation of med-cert effect."
Med cert,State collection policy,"The employee works in a state that never allows collecting Med Certs: DE","Medical certifications are not collected for employees working in DE.","Non-FMLA caregiving med-cert rules","HR admins; leave coordinators","Direct policy statement without internal list reference."
State program,MN PFML qualifying event,"Qualifying event is 5 day(s); waiting period applies","The qualifying event is 5 day(s); Minnesota PFML requires at least 7 before benefits are payable, so no days are payable yet. The benefit still applies, and these days become payable retroactively once the qualifying event is met.","Minnesota PFML waiting-period reasoning","HR admins; benefits specialists","Explains non-payable days and retroactive pay in one message."
State program,DE PFML parental exhausted,"DE PFML birthing parental runs from expected due date (when bank empty)","Delaware PFML parental leave is limited to 12 weeks per application year, and that entitlement has already been used.","Delaware PFML parental bank reasoning","HR admins; benefits specialists","Clear entitlement exhaustion explanation."
State program,RI TDI late delivery,"(internal nesting / pre-birth debug strings)","Birth details confirmed: Rhode Island TDI preserves the approved leave start of [date] rather than re-anchoring to the confirmed delivery date.","Rhode Island TDI parental reasoning","HR admins; benefits specialists","Explains preserved start after late delivery confirmation."
State program,CA SDI copies PDL,"California SDI copies the PDL spans since leave is parental.","California State Disability Insurance uses the same leave periods as California Pregnancy Disability Leave.","California SDI/PDL dependency","HR admins; benefits specialists","Full benefit names instead of abbreviations and class names."
State program,Copying spans,"Copying DelawarePFMLPaidMedical spans.","Using the same periods as Delaware PFML: Paid Benefit (Medical).","Cross-benefit span copy reasoning","HR admins; benefits specialists","Template titles instead of Python class names."
Company policy,Minimum time off,"Total leave time of 25 days, 0:00:00 did not meet minimum required time off of 26 days","Total leave time of 25 days did not meet the minimum required time off of 26 days.","Company policy intermittent reasoning","HR admins; benefits specialists","Removes timedelta clock noise."
Company policy,Intermittent increments,"Intermittent spans consisting of up to 12 increments (pattern may vary)","Intermittent leave periods are calculated using the standard company policy rules.","Company policy span reasoning","HR admins; benefits specialists","Policy outcome language instead of internal increment mechanics."
Frontend,Empty-span tooltip filter,"spans = [...] shown in tooltip details","Approved leave period:/No leave periods were calculated. lines filtered from tooltip details","Admin PDP yellow Not Applied tooltip","HR admins; leave coordinators","Frontend updated to match new approved-period copy."
Frontend,Structured span data,"(dates parsed only from datetime.date(...) regex in reasoning JSON)","Prefer structured result.spans ISO dates; regex fallback for historical rows","Benefits comparison; paycalc split UI","HR admins; engineering","More reliable date handling as reasoning copy humanizes."
Legacy compatibility,Old persisted results,"spans = (<Span (2024-01-01, 2024-01-31)>,) stored in database","Still readable via regex fallback; new evaluations use humanized copy on re-run","API; Admin PDP for older leaves","HR admins; engineering","Forward-only humanization; no DB backfill required."
Out of scope (unchanged),Internal flags,"Flag 'enableBKEDelawarePFML' is active for everyone","(filtered from user-facing output)","Not shown to users","Engineering only","Flag debug strings intentionally remain internal."
Out of scope (unchanged),Template tracking,"Relying on benefit template for tracking method","(filtered from user-facing output)","Not shown to users","Engineering only","Internal configuration message intentionally not humanized."
