Category,Data topic,Before (hard to understand),After (clear message),Where users see it,Who benefits,Why this is better
Employee,Delaware PFML coverage,"Missing Employee is not excluded from Delaware PFML","It has not been confirmed whether the employee is covered under Delaware Paid Family and Medical Leave.","Benefit eligibility sidebar; HR drawer; API","HR admins; leave coordinators","Spells out the program instead of internal exclusion logic."
Employee,STD enrollment,"Missing The employee is enrolled in STD benefits","It has not been confirmed whether the employee is enrolled in short-term disability.","Benefit eligibility sidebar; HR drawer; API","HR admins; leave coordinators","Uses full benefit name (STD → short-term disability)."
Employee,Colorado earnings,"Missing Colorado FAMLI earnings requirements","It has not been confirmed whether the employee meets Colorado FAMLI earnings requirements.","Benefit eligibility sidebar; HR drawer; API","HR admins; leave coordinators","States the unanswered question plainly."
Employee,Washington hours,"Missing has_met_wa_hours","It has not been confirmed whether the employee meets Washington's work hours requirement.","Benefit eligibility sidebar; HR drawer; API","HR admins; leave coordinators","Replaces snake_case variable with readable requirement."
Employee,Oregon earnings,"Missing EE has met OR earnings requirement","It has not been confirmed whether the employee meets Oregon's earnings requirement.","Benefit eligibility sidebar; HR drawer; API","HR admins; leave coordinators","Removes EE abbreviation and internal field naming."
Employee,Hours-per-week threshold,"Missing Employee hours per week","It has not been confirmed whether the employee works 20 or more hours per week.","Benefit eligibility sidebar; HR drawer; API","HR admins; leave coordinators","Explains the actual threshold being checked."
Leave,Start date,"Missing leave begins date","The leave start date has not been provided.","Benefit eligibility sidebar; HR drawer; API","HR admins; leave coordinators","Standard date language HR already uses."
Leave,Start date,"Missing Leave start date","The leave start date has not been provided.","Benefit eligibility sidebar; HR drawer; API","HR admins; leave coordinators","Consolidates mixed-casing variants."
Leave,Return date,"Missing return to work date","The expected return-to-work date has not been provided.","Benefit eligibility sidebar; HR drawer; API","HR admins; leave coordinators","Clarifies which return date is needed."
Leave,Return date,"Missing Return to work date","The expected return-to-work date has not been provided.","Benefit eligibility sidebar; HR drawer; API","HR admins; leave coordinators","Same human message regardless of source label."
Leave,Expected return,"Missing Expected return date","The expected return date has not been provided.","Benefit eligibility sidebar; HR drawer; API","HR admins; leave coordinators","Complete sentence ending with period."
Leave,Benefit effective date,"Missing Effective start date","The benefit effective start date has not been provided.","Benefit eligibility sidebar; HR drawer; API","HR admins; leave coordinators","Distinguishes benefit timing from leave dates."
Leave,Schedule,"Missing leave schedule","No leave schedule has been set up.","Benefit eligibility sidebar; Admin PDP yellow tooltip; Leave Management Not Applied","HR admins; leave coordinators","Action-oriented wording (set up schedule)."
Leave,Schedule,"Missing non-generic leave schedule","No leave schedule has been set up.","Benefit eligibility sidebar; Admin PDP yellow tooltip; Leave Management Not Applied","HR admins; leave coordinators","Same user-facing message for schedule gaps."
Leave,Continuous vs intermittent,"Missing is leave continuous or intermittent","It has not been specified whether the leave is continuous or intermittent.","Benefit eligibility sidebar; HR drawer; API","HR admins; leave coordinators","Asks the exact scheduling question HR must answer."
Leave,Leave type,"Missing benefit leave type","The leave type has not been specified.","Benefit eligibility sidebar; HR drawer; API","HR admins; leave coordinators","Names the survey field in plain language."
Leave,Leave type,"Missing leave type","The leave type has not been specified.","Benefit eligibility sidebar; HR drawer; API","HR admins; leave coordinators","Consolidated leave-type missing-data copy."
Leave,Path to parenthood,"Missing paths to parenthood","The path to parenthood (birth, adoption, etc.) has not been specified.","Benefit eligibility sidebar; HR drawer; API","HR admins; leave coordinators","Explains parental pathway choices."
Leave,Caregiver relationship,"Missing caregiver relationship matches","The caregiver relationship has not been confirmed.","Benefit eligibility sidebar; HR drawer; API","HR admins; leave coordinators","Relationship must be confirmed—not guessed."
Leave,Caregiver eligibility,"Missing Caring for covered family member","It has not been confirmed whether the employee is caring for a covered family member.","Benefit eligibility sidebar; HR drawer; API","HR admins; leave coordinators","Frames as unanswered confirmation."
Leave,Expected due date,"Missing expected_due_date","The expected due date has not been provided.","Benefit eligibility sidebar; HR drawer; API; document suggestions","HR admins; leave coordinators","Key smoke-test example—no snake_case in user copy."
Leave,Parental role,"Missing parental role","The parental role has not been specified.","Benefit eligibility sidebar; document suggestions; HR drawer","HR admins; leave coordinators","Clear survey field name."
Leave,Work-related injury,"Missing work-related injury or illness","It has not been confirmed whether the leave is for a work-related injury or illness.","Benefit eligibility sidebar; HR drawer; API","HR admins; leave coordinators","Distinguishes missing answer from ineligible work-related leave."
Leave,Birth details,"Missing birth type","The birth delivery method has not been recorded.","Benefit eligibility sidebar; document suggestions","HR admins; leave coordinators","Uses clinical/admin language HR understands."
Company,FMLA employer size,"Missing Company policy FMLA employer threshold","It has not been confirmed whether the company meets the FMLA employer size requirement.","Benefit eligibility sidebar; HR drawer","HR admins; benefits specialists","Explains employer-size gate in plain language."
Company,Washington headcount,"Missing 25 Washington-based employees","It has not been confirmed whether the Washington employee count for the company meets the requirement.","Benefit eligibility sidebar; HR drawer","HR admins; benefits specialists","Replaces internal count label."
Company,US headcount,"Missing at least 50 employees in the US","It has not been confirmed whether the company's U.S. employee count meets the requirement.","Benefit eligibility sidebar; HR drawer","HR admins; benefits specialists","Readable employer threshold message."
Company,Tennessee headcount,"Missing total_employees_tn_100_or_more","It has not been confirmed whether the company's Tennessee employee count meets the requirement.","Benefit eligibility sidebar; HR drawer","HR admins; benefits specialists","Removes snake_case variable name."
Company,Delaware PFML tier,"Missing Delaware PFML coverage tier","It has not been confirmed whether the company's Delaware Paid Family and Medical Leave coverage tier has been set.","Benefit eligibility sidebar; HR drawer","HR admins; benefits specialists","Spells out program name."
Company,DC FMLA threshold,"Missing DC FMLA employer threshold","It has not been confirmed whether the company meets the DC FMLA employer threshold.","Benefit eligibility sidebar; HR drawer","HR admins; benefits specialists","Clear employer coverage question."
Work location,Work state,"Missing The employee works in: CA","It has not been confirmed whether the employee's work state has been set.","Benefit eligibility sidebar; HR drawer","HR admins; leave coordinators","Removes state-code style internal copy and variable suffixes."
Work location,Work state,"Missing works in California (variable 1)","It has not been confirmed whether the employee's work state has been set.","Benefit eligibility sidebar; HR drawer","HR admins; leave coordinators","Drops confusing (variable N) suffix from user-facing text."
Work location,FMLA worksite,"Missing Employee worksite is FMLA eligible (50/75 rule)","It has not been confirmed whether the employee's worksite FMLA eligibility has been determined.","Benefit eligibility sidebar; HR drawer","HR admins; benefits specialists","Explains 50/75 worksite rule in approachable terms."
Work location,Leave state,"Missing The leave is in California (variable 1)","It has not been confirmed whether the leave state has been set.","Benefit eligibility sidebar; HR drawer","HR admins; leave coordinators","Clear leave-location data gap."
Benefit,Tenure requirement,"Missing tenure requirement","The benefit's tenure requirement has not been configured.","Benefit eligibility sidebar; Admin PDP","HR admins; benefits specialists","Points to configuration—not employee fault."
Benefit,Tenure unit,"Missing tenure requirement unit","The benefit's tenure requirement unit has not been configured.","Benefit eligibility sidebar; Admin PDP","HR admins; benefits specialists","Explains missing benefit setup."
Benefit,Max duration unit,"Missing max duration unit","The benefit's maximum duration unit has not been configured.","Admin PDP yellow tooltip; span reasoning","HR admins; benefits specialists","Configuration gap surfaced clearly."
Benefit,Expected children,"Missing expected_children","The expected number of children has not been provided.","Benefit eligibility sidebar; HR drawer","HR admins; leave coordinators","Removes snake_case field name."
Benefit,Parental role,"Missing parental role","The parental role has not been specified.","Benefit eligibility sidebar; document suggestions","HR admins; leave coordinators","Same canonical message across rules."
Benefit,Part-time history,"Missing Part time EE 175 days","The part-time employee's work history has not been verified.","Benefit eligibility sidebar; HR drawer","HR admins; leave coordinators","Removes EE abbreviation."
Pay / plan,Published paycalc,"Missing published paycalc","The published paycalc has not been set up.","Document suggestions; benefit reasoning","HR admins; leave coordinators","Tells user what system artifact is missing."
Pay / plan,Pay calendar,"Missing employee pay calendar","The employee's pay calendar has not been set up.","Admin PDP yellow tooltip; span reasoning","HR admins; payroll partners","Actionable setup message."
Calculation,Leave periods,"Missing spans (result)","Leave periods could not be calculated.","Admin PDP yellow tooltip; Leave Management Not Applied","HR admins; leave coordinators","Explains span engine could not run—not a vague missing flag."
Calculation,Leave periods,"Missing spans (variable 0)","Leave periods could not be calculated.","Admin PDP yellow tooltip; Leave Management Not Applied","HR admins; leave coordinators","Removes developer-style variable index from user copy."
Calculation,Concurrent PDL spans,"Missing get_concurrent_pdl_spans (result)","Concurrent pregnancy disability leave periods could not be determined.","Admin PDP yellow tooltip; span reasoning","HR admins; leave coordinators","Replaces internal function name with benefit meaning."
Calculation,Intermittent time unit,"Missing unit of time for minimum required time off","The minimum time off unit for intermittent leaves has not been configured.","Admin PDP yellow tooltip; span reasoning","HR admins; benefits specialists","Configuration issue described in HR terms."
Framework,Multi-arg require (removed),"Missing salary (variable 0)","The employee's salary has not been provided.","Internal rule evaluation → surfaced in API","Engineering / QA","Variable index suffix removed; one clear message per missing field."
Framework,Multi-arg require (removed),"Missing salary (variable 1)","The employee's salary period has not been provided.","Internal rule evaluation → surfaced in API","Engineering / QA","Same improvement for multi-field require() calls."
Legacy compatibility,Old persisted results,"Missing expected_due_date (stored in database)","Still recognized as missing-data via legacy prefix matching","API; sidebar for old leave evaluations","HR admins; engineering","Old rows keep working while new evaluations get humanized copy."
Out of scope (unchanged),Internal config,"Missing approval_document_config (result)","(unchanged — filtered from user-facing output)","Not shown to users","Engineering only","Internal dependency message intentionally not humanized."
Out of scope (unchanged),FMLA 50/75 final reason,"Missing definitive FMLA eligibility when 50/75 rule is enforced","(unchanged — intentional internal phrasing)","Rule reasoning only","Engineering / benefits specialists","Explicit product decision; not part of PIE-120 user copy."
