benefit,state,leave_type,relationship_api_value,survey_label,covered_by_rule,expected_bke_result,how_rule_enforces,lc_testing_notes,code_source
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,STEP_CHILD,Step-Child,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,STEP_CHILD_U18,Step-Child (Under 18),Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,STEP_CHILD_O18,Step-Child (Over 18),Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,FOSTER_CHILD,Foster Child,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,FOSTER_CHILD_U18,Foster Child (Under 18),Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,FOSTER_CHILD_O18,Foster Child (Over 18),Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,SIBLING,Sibling,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,GRANDPARENT,Grandparent,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,STEP_GRANDPARENT,Step-Grandparent,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,GRANDCHILD,Grandchild,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,STEP_GRANDCHILD,Step-Grandchild,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,SIBLING_IN_LAW,Sibling-in-Law,No,Ineligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver",Ineligible — test_ineligible_caregiver_unsupported_relationship,benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
