benefit,state,leave_type,relationship_api_value,survey_label,covered_by_rule,expected_bke_result,how_rule_enforces,lc_testing_notes,code_source
RI Temporary Caregiving Insurance (TCI),RI,Caregiver,SIBLING,Sibling,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; must match RI_TCI_CAREGIVER_RELATIONSHIPS,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/rhode_island/tci.py RI_TCI_CAREGIVER_RELATIONSHIPS
RI Temporary Caregiving Insurance (TCI),RI,Caregiver,SIBLING_IN_LAW,Sibling-in-Law,No,Ineligible,Template caregiver_relationship via is_correct_caregiver; must match RI_TCI_CAREGIVER_RELATIONSHIPS,Ineligible — not on RI TCI allow-list,benefits/rules/rhode_island/tci.py RI_TCI_CAREGIVER_RELATIONSHIPS
RI Temporary Caregiving Insurance (TCI),RI,Caregiver,LEGAL_GUARDIAN,Legal Guardian,No,Ineligible,Template caregiver_relationship via is_correct_caregiver; must match RI_TCI_CAREGIVER_RELATIONSHIPS,Ineligible — not on RI TCI allow-list,benefits/rules/rhode_island/tci.py RI_TCI_CAREGIVER_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,(null / unanswered),,N/A,Missing,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Leave type Caregiver with caregiver_relationship unset/null — expect Missing (needs data), not ineligible",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,SPOUSE,Spouse,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,DOMESTIC_PARTNER,Domestic Partner,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,PARENT,Parent,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,PARENT_IN_LAW,Parent-in-Law,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,CHILD_U18,Child (Under 18),Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,CHILD_O18,Child (Over 18),Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,CHILD_IN_LAW_U18,Child-in-Law (Under 18),Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,CHILD_IN_LAW_O18,Child-in-Law (Over 18),Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,GRANDPARENT,Grandparent,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,GRANDCHILD,Grandchild,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,SIBLING,Sibling,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,SIBLING_IN_LAW,Sibling-in-Law,No,Ineligible,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,Ineligible — covered in automated test,benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
MN PFML Paid Family (caregiving),MN,Caregiver,(survey: chosen family),Chosen family (L&C),Unknown in BKE,Manual / follow-up,Template caregiver_relationship via is_correct_caregiver; production template must match L&C doc set,L&C doc covers chosen family; no CaregiverRelationshipType enum value yet — not automatable in BKE until survey adds a value,benefits/rules/minnesota/tests/pfml/test_caregiver_relationships.py DOC_COVERED_RELATIONSHIPS
WI FMLA Caregiving,WI,Caregiver,(null / unanswered),,N/A,Missing,Template caregiver_relationship via is_correct_caregiver on WI FMLA Caregiving template,"Leave type Caregiver with caregiver_relationship unset/null — expect Missing (needs data), not ineligible",benefits/rules/wisconsin/tests/test_fmla.py template_wi_fmla_caregiving fixture
WI FMLA Caregiving,WI,Caregiver,SPOUSE,Spouse,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver on WI FMLA Caregiving template,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/wisconsin/tests/test_fmla.py template_wi_fmla_caregiving fixture
WI FMLA Caregiving,WI,Caregiver,DOMESTIC_PARTNER,Domestic Partner,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver on WI FMLA Caregiving template,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/wisconsin/tests/test_fmla.py template_wi_fmla_caregiving fixture
WI FMLA Caregiving,WI,Caregiver,CHILD_U18,Child (Under 18),Yes,Eligible,Template caregiver_relationship via is_correct_caregiver on WI FMLA Caregiving template,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/wisconsin/tests/test_fmla.py template_wi_fmla_caregiving fixture
WI FMLA Caregiving,WI,Caregiver,CHILD_O18,Child (Over 18),Yes,Eligible,Template caregiver_relationship via is_correct_caregiver on WI FMLA Caregiving template,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/wisconsin/tests/test_fmla.py template_wi_fmla_caregiving fixture
WI FMLA Caregiving,WI,Caregiver,PARENT,Parent,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver on WI FMLA Caregiving template,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/wisconsin/tests/test_fmla.py template_wi_fmla_caregiving fixture
WI FMLA Caregiving,WI,Caregiver,PARENT_IN_LAW,Parent-in-Law,Yes,Eligible,Template caregiver_relationship via is_correct_caregiver on WI FMLA Caregiving template,"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/wisconsin/tests/test_fmla.py template_wi_fmla_caregiving fixture
WI FMLA Caregiving,WI,Caregiver,SIBLING,Sibling,No,Ineligible,Template caregiver_relationship via is_correct_caregiver on WI FMLA Caregiving template,Ineligible — covered in test_caregiving_ineligible_when_relationship_not_supported,benefits/rules/wisconsin/tests/test_fmla.py template_wi_fmla_caregiving fixture
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,(null / unanswered),,N/A,Missing,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Leave type Caregiver with caregiver_relationship unset/null — expect Missing (needs data), not ineligible",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,PARENT,Parent,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,STEP_PARENT,Step-Parent,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,PARENT_IN_LAW,Parent-in-Law,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,LEGAL_GUARDIAN,Legal Guardian,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,SPOUSE,Spouse,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,DOMESTIC_PARTNER,Domestic Partner,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,CHILD,Child,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,CHILD_U18,Child (Under 18),Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,CHILD_O18,Child (Over 18),Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,STEP_CHILD,Step-Child,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,STEP_CHILD_U18,Step-Child (Under 18),Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,STEP_CHILD_O18,Step-Child (Over 18),Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,FOSTER_CHILD,Foster Child,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,FOSTER_CHILD_U18,Foster Child (Under 18),Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,FOSTER_CHILD_O18,Foster Child (Over 18),Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,SIBLING,Sibling,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,GRANDPARENT,Grandparent,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,STEP_GRANDPARENT,Step-Grandparent,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,GRANDCHILD,Grandchild,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,STEP_GRANDCHILD,Step-Grandchild,Yes,Eligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver","Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NJ Paid Family Leave Insurance (FLI),NJ,Caregiver,SIBLING_IN_LAW,Sibling-in-Law,No,Ineligible,"Code allow-list field_in (NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS), not template is_correct_caregiver",Ineligible — test_ineligible_caregiver_unsupported_relationship,benefits/rules/new_jersey/pfl.py NJ_FLI_COVERED_CAREGIVER_RELATIONSHIPS (PIE-447 branch)
NY Paid Family Leave (PFL),NY,Caregiver,(null / unanswered),,N/A,Missing,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Leave type Caregiver with caregiver_relationship unset/null — expect Missing (needs data), not ineligible",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,PARENT,Parent,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,STEP_PARENT,Step-Parent,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,PARENT_IN_LAW,Parent-in-Law,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,SPOUSE,Spouse,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,DOMESTIC_PARTNER,Domestic Partner,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,CHILD,Child,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,STEP_CHILD,Step-Child,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,SIBLING,Sibling,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,STEP_SIBLING,Step-Sibling,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,HALF_SIBLING,Half-Sibling,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,GRANDPARENT,Grandparent,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,GRANDCHILD,Grandchild,Yes,Eligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),"Assumes other eligibility inputs satisfied (earnings, tenure, flags, etc.)",benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
NY Paid Family Leave (PFL),NY,Caregiver,LEGAL_GUARDIAN,Legal Guardian,No,Ineligible,Code allow-list field_in (NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS),Ineligible — test_ineligible_caregiver_unsupported_relationship,benefits/rules/new_york/pfl.py NY_PFL_COVERED_CAREGIVER_RELATIONSHIPS (PIE-468)
